INFO    2021-10-16 12:25:01,619 [http-nio-8086-exec-9] vegetablesshop.controller.LoginController  - Login admin success!
INFO    2021-10-16 12:25:11,134 [http-nio-8086-exec-2] vegetablesshop.controller.LoginController  - Admin get all product list successfully!
INFO    2021-10-16 12:26:09,479 [http-nio-8086-exec-1] vegetablesshop.controller.LoginController  - Admin get all product list successfully!
INFO    2021-10-16 12:27:41,966 [http-nio-8086-exec-4] vegetablesshop.controller.LoginController  - Admin get all product list successfully!
INFO    2021-10-16 12:28:08,658 [http-nio-8086-exec-2] vegetablesshop.controller.LoginController  - Admin get all product list successfully!
INFO    2021-10-16 12:28:27,105 [http-nio-8086-exec-3] vegetablesshop.controller.LoginController  - Admin get all product list successfully!
INFO    2021-10-16 12:32:34,416 [http-nio-8086-exec-1] vegetablesshop.controller.LoginController  - Login admin success!
INFO    2021-10-16 12:32:37,681 [http-nio-8086-exec-7] vegetablesshop.controller.LoginController  - Admin get all product list successfully!
INFO    2021-10-16 12:56:33,135 [http-nio-8086-exec-6] vegetablesshop.controller.LoginController  - Admin get all product list successfully!
INFO    2021-10-16 14:41:24,300 [http-nio-8086-exec-2] vegetablesshop.controller.LoginController  - Login admin success!
INFO    2021-10-16 14:41:39,672 [http-nio-8086-exec-6] vegetablesshop.controller.LoginController  - Admin get all product list successfully!
INFO    2021-10-16 14:42:14,095 [http-nio-8086-exec-3] vegetablesshop.controller.LoginController  - Admin get all product list successfully!
INFO    2021-10-16 14:43:01,686 [http-nio-8086-exec-2] vegetablesshop.controller.LoginController  - Admin get all product list successfully!
INFO    2021-10-16 14:43:03,217 [http-nio-8086-exec-8] vegetablesshop.controller.LoginController  - Admin get all product list successfully!
INFO    2021-10-16 14:43:54,670 [http-nio-8086-exec-10] vegetablesshop.controller.LoginController  - Admin get all product list successfully!
INFO    2021-10-16 14:46:11,031 [http-nio-8086-exec-6] vegetablesshop.controller.LoginController  - Admin get all product list successfully!
INFO    2021-10-16 14:46:53,770 [http-nio-8086-exec-3] vegetablesshop.controller.LoginController  - Admin get all product list successfully!
INFO    2021-10-16 17:22:44,546 [http-nio-8086-exec-23] vegetablesshop.controller.LoginController  - Admin get all product list successfully!
INFO    2021-10-16 17:37:29,893 [http-nio-8086-exec-19] vegetablesshop.controller.LoginController  - Admin get all product list successfully!
INFO    2021-10-16 17:58:33,660 [http-nio-8086-exec-68] vegetablesshop.controller.LoginController  - Login user success!
